"","metric","auc"
"1","pearson",0.597153919411108
"2","spearman",0.613142066837084
"3","kendall",0.495830384979593
"4","bicor",0.607880723463976
"5","binomial",0.597085783211055
"6","MI",0.506206286278124
"7","cosine",0.602512369447876
"8","jaccard",0.611586638938703
"9","canberra",0.492914801759274
"10","euclidean",0.613469189448533
"11","manhattan",0.607884351392234
"12","weighted_rank",0.612552614559183
"13","hamming",0.612569469860906
"14","rho_p",0.612333700866299
"15","phi_s",0.603786434297067
