"","metric","auc"
"1","pearson",0.538686196910405
"2","spearman",0.501701160267402
"3","kendall",0.455020674292181
"4","bicor",0.529521516610701
"5","binomial",0.532046275581471
"6","MI",0.430662605353272
"7","cosine",0.584093515709416
"8","jaccard",0.519464069472338
"9","canberra",0.430322231741857
"10","euclidean",0.576208226253705
"11","manhattan",0.529521516610701
"12","weighted_rank",0.536012509230554
"13","hamming",0.536027250780912
"14","rho_p",0.519364564007421
"15","phi_s",0.529181045373125
