"","metric","auc"
"1","pearson",0.550389173255435
"2","spearman",0.505579869044163
"3","kendall",0.398742128008092
"4","bicor",0.542201178331907
"5","binomial",0.545785971176644
"6","MI",0.386918662317301
"7","cosine",0.585687878121766
"8","jaccard",0.542377529843169
"9","canberra",0.386318633161539
"10","euclidean",0.555677229375426
"11","manhattan",0.542201178331907
"12","weighted_rank",0.527925577747465
"13","hamming",0.527955703666146
"14","rho_p",0.546382170766473
"15","phi_s",0.544070836246995
