"","metric","auc"
"1","pearson",0.541049448168168
"2","spearman",0.497140879921463
"3","kendall",0.382075787024785
"4","bicor",0.531819994737186
"5","binomial",0.531819994737186
"6","MI",0.375157014377096
"7","cosine",0.597588018810929
"8","jaccard",0.548909618556152
"9","canberra",0.378752602927196
"10","euclidean",0.608699015863804
"11","manhattan",0.531819994737186
"12","weighted_rank",0.530353911720428
"13","hamming",0.530347120386995
"14","rho_p",0.552342089918007
"15","phi_s",0.55331966637465
