"","metric","auc"
"1","pearson",0.510694311972858
"2","spearman",0.488121564380034
"3","kendall",0.436826083742797
"4","bicor",0.509991181600995
"5","binomial",0.509991181600995
"6","MI",0.434736616562825
"7","cosine",0.552113935458873
"8","jaccard",0.503268456956391
"9","canberra",0.432179623563476
"10","euclidean",0.532147949757511
"11","manhattan",0.509991181600995
"12","weighted_rank",0.507707439335979
"13","hamming",0.50771531110912
"14","rho_p",0.50369687690634
"15","phi_s",0.505578778096499
