"","metric","auc"
"1","pearson",0.583150967284093
"2","spearman",0.563057104152108
"3","kendall",0.526365390302802
"4","bicor",0.583829543085165
"5","binomial",0.482198887873843
"6","MI",0.462601597557859
"7","cosine",0.623130083196844
"8","jaccard",0.580474512947396
"9","canberra",0.427637041296366
"10","euclidean",0.593471726059429
"11","manhattan",0.583911672954718
"12","weighted_rank",0.492376792091986
"13","hamming",0.492378956388723
"14","rho_p",0.581711698083658
"15","phi_s",0.587610880266041
