"","metric","auc"
"1","pearson",0.538198831758825
"2","spearman",0.544944606100857
"3","kendall",0.489548625670351
"4","bicor",0.562281171702561
"5","binomial",0.562281171702561
"6","MI",0.503950429718389
"7","cosine",0.578209292132523
"8","jaccard",0.543653064780446
"9","canberra",0.509786740171868
"10","euclidean",0.550107664108618
"11","manhattan",0.562281171702561
"12","weighted_rank",0.544805848733686
"13","hamming",0.544799568229637
"14","rho_p",0.548365978469993
"15","phi_s",0.541379712855062
