"","metric","auc"
"1","pearson",0.558884271169536
"2","spearman",0.502009591556988
"3","kendall",0.410698967029002
"4","bicor",0.558295751327961
"5","binomial",0.543551502380161
"6","MI",0.367418941462022
"7","cosine",0.6868768807759
"8","jaccard",0.543540570427953
"9","canberra",0.357501625430282
"10","euclidean",0.587714553924645
"11","manhattan",0.558294635152661
"12","weighted_rank",0.47413784896277
"13","hamming",0.474145079480709
"14","rho_p",0.547243777445807
"15","phi_s",0.559062104157868
