"","metric","auc"
"1","pearson",0.616490466875656
"2","spearman",0.57518534421871
"3","kendall",0.506550216706566
"4","bicor",0.6231840944023
"5","binomial",0.541946027763512
"6","MI",0.452102002232082
"7","cosine",0.57530490001001
"8","jaccard",0.595291859260943
"9","canberra",0.46501047282538
"10","euclidean",0.576443392952196
"11","manhattan",0.623187275072804
"12","weighted_rank",0.505291279256321
"13","hamming",0.505282672736134
"14","rho_p",0.597001937402534
"15","phi_s",0.590450130360716
