"","metric","auc"
"1","pearson",0.602223412996975
"2","spearman",0.571827888579976
"3","kendall",0.532412468425378
"4","bicor",0.609164276838506
"5","binomial",0.57269350613489
"6","MI",0.491336805502758
"7","cosine",0.650684274454252
"8","jaccard",0.596204610244623
"9","canberra",0.466677209280826
"10","euclidean",0.567488317465685
"11","manhattan",0.609173789520358
"12","weighted_rank",0.545352781212575
"13","hamming",0.545360505704872
"14","rho_p",0.599909057788327
"15","phi_s",0.593407066754819
