"","metric","auc"
"1","pearson",0.392109928662484
"2","spearman",0.387666590427211
"3","kendall",0.388413652354807
"4","bicor",0.402840016387643
"5","binomial",0.386850518419032
"6","MI",0.386572677373186
"7","cosine",0.39211114679898
"8","jaccard",0.397481010245084
"9","canberra",0.504163391931789
"10","euclidean",0.402898963601525
"11","manhattan",0.507077227391049
"12","weighted_rank",0.396222172102084
"13","hamming",0.493793713721876
"14","rho_p",0.387428418261148
"15","phi_s",0.387428418261148
