"","metric","auc"
"1","pearson",0.493728814345986
"2","spearman",0.464115698617972
"3","kendall",0.47762191565499
"4","bicor",0.479476893229718
"5","binomial",0.478362978422541
"6","MI",0.419718458032486
"7","cosine",0.567770112737461
"8","jaccard",0.457200144190083
"9","canberra",0.42608479057628
"10","euclidean",0.572589341382399
"11","manhattan",0.479476893229718
"12","weighted_rank",0.475876782457079
"13","hamming",0.475897668359714
"14","rho_p",0.458365113425922
"15","phi_s",0.454121407431359
