"","metric","auc"
"1","pearson",0.480662054877823
"2","spearman",0.474999079501103
"3","kendall",0.477840100868423
"4","bicor",0.479766430032187
"5","binomial",0.492776741148266
"6","MI",0.461886458608127
"7","cosine",0.480662216230285
"8","jaccard",0.451829532588359
"9","canberra",0.566696641113062
"10","euclidean",0.484592600518121
"11","manhattan",0.572688412661923
"12","weighted_rank",0.469980083336955
"13","hamming",0.569627144533003
"14","rho_p",0.479334558422358
"15","phi_s",0.479334558422358
