"","metric","auc"
"1","pearson",0.527319648753557
"2","spearman",0.508367634095045
"3","kendall",0.450797104732932
"4","bicor",0.52329331430395
"5","binomial",0.52329331430395
"6","MI",0.446434171817177
"7","cosine",0.553944268621629
"8","jaccard",0.522118308923474
"9","canberra",0.446167677006116
"10","euclidean",0.540154491559307
"11","manhattan",0.52329331430395
"12","weighted_rank",0.509587936080424
"13","hamming",0.509587164125556
"14","rho_p",0.525082001167093
"15","phi_s",0.522742103829728
