"","metric","auc"
"1","pearson",0.490008089046663
"2","spearman",0.496301178367756
"3","kendall",0.496731799508513
"4","bicor",0.489307129495515
"5","binomial",0.511869203068603
"6","MI",0.467841779509683
"7","cosine",0.490008089046663
"8","jaccard",0.447886064541127
"9","canberra",0.563174017609558
"10","euclidean",0.490008089046663
"11","manhattan",0.567821037513133
"12","weighted_rank",0.494418320847264
"13","hamming",0.565263383437175
"14","rho_p",0.492288325374903
"15","phi_s",0.492288325374903
