"","metric","auc"
"1","pearson",0.382447290692702
"2","spearman",0.40072815957586
"3","kendall",0.400863725198083
"4","bicor",0.463245750287379
"5","binomial",0.413833106210365
"6","MI",0.404613506346791
"7","cosine",0.382447290660149
"8","jaccard",0.378176891899691
"9","canberra",0.401543310956746
"10","euclidean",0.494622029432772
"11","manhattan",0.501762587789796
"12","weighted_rank",0.424401591932068
"13","hamming",0.470283480832976
"14","rho_p",0.451261525845465
"15","phi_s",0.451261525845465
