"","metric","auc"
"1","pearson",0.370474856425215
"2","spearman",0.370078189842849
"3","kendall",0.374034247555253
"4","bicor",0.37097131379842
"5","binomial",0.413496032003832
"6","MI",0.386070127751351
"7","cosine",0.370493508854277
"8","jaccard",0.330780761792926
"9","canberra",0.488597312102113
"10","euclidean",0.473173928251828
"11","manhattan",0.59924923670591
"12","weighted_rank",0.363592295697672
"13","hamming",0.555682641236486
"14","rho_p",0.513669105669824
"15","phi_s",0.513669105669824
