"","metric","auc"
"1","pearson",0.469185655088342
"2","spearman",0.483677400684249
"3","kendall",0.488749532716626
"4","bicor",0.471814226167539
"5","binomial",0.48889300047639
"6","MI",0.459984977463688
"7","cosine",0.469185655088342
"8","jaccard",0.459612397259142
"9","canberra",0.54225449409258
"10","euclidean",0.469185655088342
"11","manhattan",0.533233481513492
"12","weighted_rank",0.486874138788062
"13","hamming",0.526917584857918
"14","rho_p",0.485213082441014
"15","phi_s",0.485213082441014
