"","metric","auc"
"1","pearson",0.447702317488524
"2","spearman",0.455815146971716
"3","kendall",0.458767607915001
"4","bicor",0.446859312527765
"5","binomial",0.497733669295128
"6","MI",0.41990372334518
"7","cosine",0.447702410039982
"8","jaccard",0.334202368391826
"9","canberra",0.587972290093292
"10","euclidean",0.455256274988894
"11","manhattan",0.631700910706353
"12","weighted_rank",0.444451956537835
"13","hamming",0.62538644861543
"14","rho_p",0.530302041685177
"15","phi_s",0.530302041685177
