"","metric","auc"
"1","pearson",0.39610763534357
"2","spearman",0.408053461110168
"3","kendall",0.403602207947892
"4","bicor",0.403579186975099
"5","binomial",0.424524319588067
"6","MI",0.391363854943522
"7","cosine",0.396108537060717
"8","jaccard",0.350866447445422
"9","canberra",0.429148782378813
"10","euclidean",0.423122979592397
"11","manhattan",0.497452604197764
"12","weighted_rank",0.392800750876739
"13","hamming",0.429074669743363
"14","rho_p",0.427852839474968
"15","phi_s",0.427852839474968
