"","metric","auc"
"1","pearson",0.376829189574511
"2","spearman",0.402997501302672
"3","kendall",0.40471319239221
"4","bicor",0.383516829956677
"5","binomial",0.424796320151325
"6","MI",0.423564839371462
"7","cosine",0.376795511886821
"8","jaccard",0.424709693654656
"9","canberra",0.493445667131606
"10","euclidean",0.458072120768188
"11","manhattan",0.5350061789202
"12","weighted_rank",0.409544069593071
"13","hamming",0.547933733536522
"14","rho_p",0.494728787032593
"15","phi_s",0.494728787032593
