"","metric","auc"
"1","pearson",0.592485819360469
"2","spearman",0.569812379230817
"3","kendall",0.555538240977373
"4","bicor",0.608380602131771
"5","binomial",0.608115689085583
"6","MI",0.575243096677678
"7","cosine",0.576879324315899
"8","jaccard",0.599841052172286
"9","canberra",0.585348750233747
"10","euclidean",0.525883562924641
"11","manhattan",0.608380602131771
"12","weighted_rank",0.618416131646201
"13","hamming",0.618416131646201
"14","rho_p",0.596599763136571
"15","phi_s",0.615361840054853
