"","metric","auc"
"1","pearson",0.382144639337899
"2","spearman",0.389225966438768
"3","kendall",0.381409158609846
"4","bicor",0.381824182953129
"5","binomial",0.410624631528136
"6","MI",0.363054841696056
"7","cosine",0.382144459417779
"8","jaccard",0.363657839579818
"9","canberra",0.439379653479658
"10","euclidean",0.397856370008885
"11","manhattan",0.494285962777108
"12","weighted_rank",0.38450316052607
"13","hamming",0.452883216610563
"14","rho_p",0.453488145077438
"15","phi_s",0.453488145077438
