"","metric","auc"
"1","pearson",0.72332451499118
"2","spearman",0.726539535567313
"3","kendall",0.668871252204585
"4","bicor",0.709619341563786
"5","binomial",0.697089947089948
"6","MI",0.66493974132863
"7","cosine",0.726741622574956
"8","jaccard",0.725639329805996
"9","canberra",0.647339800117577
"10","euclidean",0.730930335097003
"11","manhattan",0.709619341563786
"12","weighted_rank",0.713697824808934
"13","hamming",0.713697824808934
"14","rho_p",0.720862727807172
"15","phi_s",0.714579659024103
