"","metric","auc"
"1","pearson",0.375144912759381
"2","spearman",0.376553728632408
"3","kendall",0.377862196454463
"4","bicor",0.374829670719565
"5","binomial",0.397704992151548
"6","MI",0.402260742540105
"7","cosine",0.375143861756287
"8","jaccard",0.379276414588591
"9","canberra",0.453363730858778
"10","euclidean",0.439331646507276
"11","manhattan",0.518430123514441
"12","weighted_rank",0.372680507631136
"13","hamming",0.496644375319684
"14","rho_p",0.494761980973637
"15","phi_s",0.494761980973637
