"","metric","auc"
"1","pearson",0.415498751039195
"2","spearman",0.427146021002579
"3","kendall",0.430657175913215
"4","bicor",0.424794757158284
"5","binomial",0.448705714393057
"6","MI",0.431006518872169
"7","cosine",0.415502527303256
"8","jaccard",0.35602856474029
"9","canberra",0.466613490703358
"10","euclidean",0.452424602360358
"11","manhattan",0.540641367624123
"12","weighted_rank",0.432178894729896
"13","hamming",0.525093525152134
"14","rho_p",0.431881957068116
"15","phi_s",0.431881957068116
